Time	tank shape = vertical	VALVE 172
	LEVEL	POSITION
		
		
8.74	19.4378	50
8.75	19.4468	50
8.76	19.4557	50
8.77	19.4647	50
8.78	19.4736	50
8.79	19.4826	50
8.8	19.4915	50
8.81	19.5004	50
8.82	19.5093	50
8.83	19.5182	50
8.84	19.5271	50
8.85	19.5359	50
8.86	19.5448	50
8.87	19.5536	50
8.88	19.5624	50
8.89	19.5712	50
8.9	19.58	50
8.91	19.5888	50
8.92	19.5976	50
8.93	19.6063	50
8.94	19.6151	50
8.95	19.6238	50
8.96	19.6325	50
8.97	19.6412	50
8.98	19.6499	50
8.99	19.6586	50
9	19.6672	50
9.01	19.6759	50
9.02	19.6845	50
9.03	19.6931	50
9.04	19.7018	50
9.05	19.7104	50
9.06	19.7189	50
9.07	19.7275	50
9.08	19.7361	50
9.09	19.7446	50
9.1	19.7531	50
9.11	19.7617	50
9.12	19.7702	50
9.13	19.7787	50
9.14	19.7871	50
9.15	19.7956	50
9.16	19.8041	50
9.17	19.8125	50
9.18	19.8209	50
9.19	19.8294	50
9.2	19.8378	50
9.21	19.8462	50
9.22	19.8545	50
9.23	19.8629	50
9.24	19.8713	50
9.25	19.8796	50
9.26	19.8879	50
9.27	19.8963	50
9.28	19.9046	50
9.29	19.9129	50
9.3	19.9212	50
9.31	19.9294	50
9.32	19.9377	50
9.33	19.9459	50
9.34	19.9542	50
9.35	19.9624	50
9.36	19.9706	50
9.37	19.9788	50
9.38	19.987	50
9.39	19.9951	50
9.4	20.0033	50
9.41	20.0115	50
9.42	20.0196	50
9.43	20.0277	50
9.44	20.0358	50
9.45	20.0439	50
9.46	20.052	50
9.47	20.0601	50
9.48	20.0681	50
9.49	20.0762	50
9.5	20.0842	50
9.51	20.0923	50
9.52	20.1003	50
9.53	20.1083	50
9.54	20.1163	50
9.55	20.1243	50
9.56	20.1322	50
9.57	20.1402	50
9.58	20.1481	50
9.59	20.1561	50
9.6	20.164	50
9.61	20.1719	50
9.62	20.1798	50
9.63	20.1877	50
9.64	20.1956	50
9.65	20.2034	50
9.66	20.2113	50
9.67	20.2191	50
9.68	20.227	50
9.69	20.2348	50
9.7	20.2426	50
9.71	20.2504	50
9.72	20.2582	50
9.73	20.2659	50
9.74	20.2737	50
9.75	20.2814	50
9.76	20.2892	50
9.77	20.2969	50
9.78	20.3046	50
9.79	20.3123	50
9.8	20.32	50
9.81	20.3277	50
9.82	20.3354	50
9.83	20.343	50
9.84	20.3507	50
9.85	20.3583	50
9.86	20.3659	50
9.87	20.3735	50
9.88	20.3811	50
9.89	20.3887	50
9.9	20.3963	50
9.91	20.4039	50
9.92	20.4114	50
9.93	20.419	50
9.94	20.4265	50
9.95	20.434	50
9.96	20.4416	50
9.97	20.4491	50
9.98	20.4566	50
9.99	20.464	50
10	20.4715	50
10.01	20.479	50
10.02	20.4864	50
10.03	20.4938	50
10.04	20.5013	50
10.05	20.5087	50
10.06	20.5161	50
10.07	20.5235	50
10.08	20.5309	50
10.09	20.5382	50
10.1	20.5456	50
10.11	20.5529	50
10.12	20.5603	50
10.13	20.5676	50
10.14	20.5749	50
10.15	20.5822	50
10.16	20.5895	50
10.17	20.5968	50
10.18	20.6041	50
10.19	20.6113	50
10.2	20.6186	50
10.21	20.6258	50
10.22	20.6331	50
10.23	20.6403	50
10.24	20.6475	50
10.25	20.6547	50
10.26	20.6619	50
10.27	20.6691	50
10.28	20.6763	50
10.29	20.6834	50
10.3	20.6906	50
10.31	20.6977	50
10.32	20.7048	50
10.33	20.7119	50
10.34	20.7191	50
10.35	20.7261	50
10.36	20.7332	50
10.37	20.7403	50
10.38	20.7474	50
10.39	20.7544	50
10.4	20.7615	50
10.41	20.7685	50
10.42	20.7755	50
10.43	20.7825	50
10.44	20.7895	50
10.45	20.7965	50
10.46	20.8035	50
10.47	20.8105	50
10.48	20.8175	50
10.49	20.8244	50
10.5	20.8314	50
10.51	20.8383	50
10.52	20.8452	50
10.53	20.8521	50
10.54	20.859	50
10.55	20.8659	50
10.56	20.8728	50
10.57	20.8797	50
10.58	20.8865	50
10.59	20.8934	50
10.6	20.9002	50
10.61	20.9071	50
10.62	20.9139	50
10.63	20.9207	50
10.64	20.9275	50
10.65	20.9343	50
10.66	20.9411	50
10.67	20.9479	50
10.68	20.9546	50
10.69	20.9614	50
10.7	20.9681	50
10.71	20.9749	50
10.72	20.9816	50
10.73	20.9883	50
10.74	20.995	50
10.75	21.0017	50
10.76	21.0084	50
10.77	21.0151	50
10.78	21.0217	50
10.79	21.0284	50
10.8	21.035	50
10.81	21.0417	50
10.82	21.0483	50
10.83	21.0549	50
10.84	21.0615	50
10.85	21.0681	50
10.86	21.0747	50
10.87	21.0813	50
10.88	21.0878	50
10.89	21.0944	50
10.9	21.101	50
10.91	21.1075	50
10.92	21.114	50
10.93	21.1206	50
10.94	21.1271	50
10.95	21.1336	50
10.96	21.1401	50
10.97	21.1466	50
10.98	21.153	50
10.99	21.1595	50
11	21.166	50
11.01	21.1724	50
11.02	21.1789	50
11.03	21.1853	50
11.04	21.1917	50
11.05	21.1981	50
11.06	21.2045	50
11.07	21.2109	50
11.08	21.2173	50
11.09	21.2237	50
11.1	21.23	50
11.11	21.2364	50
11.12	21.2427	50
11.13	21.2491	50
11.14	21.2554	50
11.15	21.2617	50
11.16	21.268	50
11.17	21.2743	50
11.18	21.2806	50
11.19	21.2869	50
11.2	21.2932	50
11.21	21.2995	50
11.22	21.3057	50
11.23	21.312	50
11.24	21.3182	50
11.25	21.3244	50
11.26	21.3306	50
11.27	21.3368	50
11.28	21.343	50
11.29	21.3492	50
11.3	21.3554	50
11.31	21.3616	50
11.32	21.3678	50
11.33	21.3739	50
11.34	21.3801	50
11.35	21.3862	50
11.36	21.3924	50
11.37	21.3985	50
11.38	21.4046	50
11.39	21.4107	50
11.4	21.4168	50
11.41	21.4229	50
11.42	21.429	50
11.43	21.435	50
11.44	21.4411	50
11.45	21.4472	50
11.46	21.4532	50
11.47	21.4592	50
11.48	21.4653	50
11.49	21.4713	50
11.5	21.4773	50
11.51	21.4833	50
11.52	21.4893	50
11.53	21.4953	50
11.54	21.5012	50
11.55	21.5072	50
11.56	21.5132	50
11.57	21.5191	50
11.58	21.5251	50
11.59	21.531	50
11.6	21.5369	50
11.61	21.5428	50
11.62	21.5487	50
11.63	21.5546	50
11.64	21.5605	50
11.65	21.5664	50
11.66	21.5723	50
11.67	21.5781	50
11.68	21.584	50
11.69	21.5898	50
11.7	21.5957	50
11.71	21.6015	50
11.72	21.6074	50
11.73	21.6132	50
11.74	21.619	50
11.75	21.6248	50
11.76	21.6306	50
11.77	21.6363	50
11.78	21.6421	50
11.79	21.6479	50
11.8	21.6536	50
11.81	21.6594	50
11.82	21.6651	50
11.83	21.6708	50
11.84	21.6766	50
11.85	21.6823	50
11.86	21.688	50
11.87	21.6937	50
11.88	21.6994	50
11.89	21.7051	50
11.9	21.7108	50
11.91	21.7164	50
11.92	21.7221	50
11.93	21.7277	50
11.94	21.7334	50
11.95	21.739	50
11.96	21.7446	50
11.97	21.7503	50
11.98	21.7559	50
11.99	21.7615	50
12	21.7671	50
12.01	21.7727	50
12.02	21.7783	50
12.03	21.7838	50
12.04	21.7894	50
12.05	21.7949	50
12.06	21.8005	50
12.07	21.806	50
12.08	21.8116	50
12.09	21.8171	50
12.1	21.8226	50
12.11	21.8281	50
12.12	21.8336	50
12.13	21.8391	50
12.14	21.8446	50
12.15	21.8501	50
12.16	21.8555	50
12.17	21.861	50
12.18	21.8665	50
12.19	21.8719	50
12.2	21.8774	50
12.21	21.8828	50
12.22	21.8882	50
12.23	21.8936	50
12.24	21.899	50
12.25	21.9044	50
12.26	21.9098	50
12.27	21.9152	50
12.28	21.9206	50
12.29	21.9259	50
12.3	21.9313	50
12.31	21.9367	50
12.32	21.942	50
12.33	21.9474	50
12.34	21.9527	50
12.35	21.958	50
12.36	21.9633	50
12.37	21.9686	50
12.38	21.9739	50
12.39	21.9792	50
12.4	21.9845	50
12.41	21.9898	50
12.42	21.9951	50
12.43	22.0003	50
12.44	22.0056	50
12.45	22.0108	50
12.46	22.0161	50
12.47	22.0213	50
12.48	22.0265	50
12.49	22.0318	50
12.5	22.037	50
12.51	22.0422	50
12.52	22.0474	50
12.53	22.0526	50
12.54	22.0578	50
12.55	22.0629	50
12.56	22.0681	50
12.57	22.0733	50
12.58	22.0784	50
12.59	22.0835	50
12.6	22.0887	50
12.61	22.0938	50
12.62	22.0989	50
12.63	22.1041	50
12.64	22.1092	50
12.65	22.1143	50
12.66	22.1194	50
