Time	VALVE 368	#5 Tank shape = vertical
	POSITION	OUT1
		TEMPERATURE
		`C
22.86	50	47.2068
22.87	50	47.2068
22.88	50	47.2068
22.89	50	47.2068
22.9	50	47.2068
22.91	50	47.2068
22.92	50	47.2068
22.93	50	47.2068
22.94	50	47.2068
22.95	50	47.2068
22.96	50	47.2068
22.97	50	47.2068
22.98	50	47.2068
22.99	50	47.2068
23	50	47.2068
23.01	50	47.2068
23.02	50	47.2068
23.03	50	47.2068
23.04	50	47.2068
23.05	50	47.2068
23.06	50	47.2068
23.07	50	47.2068
23.08	50	47.2068
23.09	50	47.2068
23.1	50	47.2068
23.11	50	47.2068
23.12	50	47.2068
23.13	50	47.2068
23.14	50	47.2068
23.15	50	47.2068
23.16	50	47.2068
23.17	50	47.2068
23.18	50	47.2068
23.19	50	47.2068
23.2	50	47.2068
23.21	50	47.2068
23.22	50	47.2068
23.23	50	47.2068
23.24	50	47.2068
23.25	50	47.2068
23.26	50	47.2068
23.27	50	47.2068
23.28	50	47.2068
23.29	50	47.2068
23.3	50	47.2068
23.31	50	47.2068
23.32	50	47.2068
23.33	50	47.2068
23.34	50	47.2068
23.35	50	47.2068
23.36	50	47.2068
23.37	50	47.2068
23.38	50	47.2068
23.39	50	47.2068
23.4	50	47.2068
23.41	50	47.2068
23.42	50	47.2068
23.43	50	47.2068
23.44	50	47.2068
23.45	50	47.2068
23.46	50	47.2068
23.47	50	47.2068
23.48	50	47.2068
23.49	50	47.2068
23.5	50	47.2068
23.51	50	47.2068
23.52	50	47.2068
23.53	50	47.2068
23.54	50	47.2068
23.55	50	47.2068
23.56	50	47.2068
23.57	50	47.2068
23.58	50	47.2068
23.59	50	47.2068
23.6	50	47.2068
23.61	50	47.2068
23.62	50	47.2068
23.63	50	47.2068
23.64	50	47.2068
23.65	50	47.2068
23.66	50	47.2068
23.67	50	47.2068
23.68	50	47.2068
23.69	50	47.2068
23.7	50	47.2068
23.71	50	47.2068
23.72	50	47.2068
23.73	50	47.2068
23.74	50	47.2068
23.75	50	47.2068
23.76	50	47.2068
23.77	50	47.2068
23.78	50	47.2068
23.79	50	47.2068
23.8	50	47.2068
23.81	50	47.2068
23.82	50	47.2068
23.83	50	47.2068
23.84	50	47.2068
23.85	50	47.2068
23.86	50	47.2068
23.87	50	47.2068
23.88	50	47.2068
23.89	50	47.2068
23.9	50	47.2068
23.91	50	47.2068
23.92	50	47.2068
23.93	50	47.2068
23.94	50	47.2068
23.95	50	47.2068
23.96	50	47.2068
23.97	50	47.2068
23.98	50	47.2068
23.99	50	47.2068
24	50	47.2068
24.01	50	47.2068
24.02	50	47.2068
24.03	50	47.2068
24.04	50	47.2068
24.05	50	47.2068
24.06	50	47.2068
24.07	50	47.2068
24.08	50	47.2068
24.09	50	47.2068
24.1	50	47.2068
24.11	50	47.2068
24.12	50	47.2068
24.13	50	47.2068
24.14	50	47.2068
24.15	50	47.2068
24.16	50	47.2068
24.17	50	47.2068
24.18	50	47.2068
24.19	50	47.2068
24.2	50	47.2068
24.21	50	47.2068
24.22	50	47.2068
24.23	50	47.2068
24.24	50	47.2068
24.25	50	47.2068
24.26	50	47.2068
24.27	50	47.2068
24.28	50	47.2068
24.29	50	47.2068
24.3	50	47.2068
24.31	50	47.2068
24.32	50	47.2068
24.33	50	47.2068
24.34	50	47.2068
24.35	50	47.2068
24.36	50	47.2068
24.37	50	47.2068
24.38	50	47.2068
24.39	50	47.2068
24.4	50	47.2068
24.41	50	47.2068
24.42	50	47.2068
24.43	50	47.2068
24.44	50	47.2068
24.45	50	47.2068
24.46	50	47.2068
24.47	50	47.2068
24.48	50	47.2068
24.49	50	47.2068
24.5	50	47.2068
24.51	50	47.2068
24.52	50	47.2068
24.53	50	47.2068
24.54	50	47.2068
24.55	50	47.2068
24.56	50	47.2068
24.57	50	47.2068
24.58	50	47.2068
24.59	50	47.2068
24.6	50	47.2068
24.61	50	47.2068
24.62	50	47.2068
24.63	50	47.2068
24.64	50	47.2068
24.65	50	47.2068
24.66	50	47.2068
24.67	50	47.2068
24.68	50	47.2068
24.69	50	47.2068
24.7	50	47.2068
24.71	50	47.2068
24.72	50	47.2068
24.73	50	47.2068
24.74	50	47.2068
24.75	50	47.2068
24.76	50	47.2068
24.77	50	47.2068
24.78	50	47.2068
24.79	50	47.2068
24.8	50	47.2068
24.81	50	47.2068
24.82	50	47.2068
24.83	50	47.2068
24.84	50	47.2068
24.85	50	47.2068
24.86	50	47.2068
24.87	50	47.2068
24.88	50	47.2068
24.89	50	47.2068
24.9	50	47.2068
24.91	50	47.2068
24.92	50	47.2068
24.93	50	47.2068
24.94	50	47.2068
24.95	50	47.2068
24.96	50	47.2068
24.97	50	47.2068
24.98	50	47.2068
24.99	50	47.2068
25	50	47.2068
25.01	50	47.2068
25.02	50	47.2068
25.03	50	47.2068
25.04	50	47.2068
25.05	50	47.2068
25.06	50	47.2068
25.07	50	47.2068
25.08	50	47.2068
25.09	50	47.2068
25.1	50	47.2068
25.11	50	47.2068
25.12	50	47.2068
25.13	50	47.2068
25.14	50	47.2068
25.15	50	47.2068
25.16	50	47.2068
25.17	50	47.2068
25.18	50	47.2068
25.19	50	47.2068
25.2	50	47.2068
25.21	50	47.2068
25.22	50	47.2068
25.23	50	47.2068
25.24	50	47.2068
25.25	50	47.2068
25.26	50	47.2068
25.27	50	47.2068
25.28	50	47.2068
25.29	50	47.2068
25.3	50	47.2068
25.31	50	47.2068
25.32	50	47.2068
25.33	50	47.2068
25.34	50	47.2068
25.35	50	47.2068
25.36	50	47.2068
25.37	50	47.2068
25.38	50	47.2068
25.39	50	47.2068
25.4	50	47.2068
25.41	50	47.2068
25.42	50	47.2068
25.43	50	47.2068
25.44	50	47.2068
25.45	50	47.2068
25.46	50	47.2068
25.47	50	47.2068
25.48	50	47.2068
25.49	50	47.2068
25.5	50	47.2068
25.51	50	47.2068
25.52	50	47.2068
25.53	50	47.2068
25.54	50	47.2068
25.55	50	47.2068
25.56	50	47.2068
25.57	50	47.2068
25.58	50	47.2068
25.59	50	47.2068
25.6	50	47.2068
25.61	50	47.2068
25.62	50	47.2068
25.63	50	47.2068
25.64	50	47.2068
25.65	50	47.2068
25.66	50	47.2068
25.67	50	47.2068
25.68	50	47.2068
25.69	50	47.2068
25.7	50	47.2068
25.71	50	47.2068
25.72	50	47.2068
25.73	50	47.2068
25.74	50	47.2068
25.75	50	47.2068
25.76	50	47.2068
25.77	50	47.2068
25.78	50	47.2068
25.79	50	47.2068
25.8	50	47.2068
25.81	50	47.2068
25.82	50	47.2068
25.83	50	47.2068
25.84	50	47.2068
25.85	50	47.2068
25.86	50	47.2068
25.87	50	47.2068
